Athlete ID,Name,School,SeedTime,SimTime,PostMean,PostStd,SeedRank,Heat,Lane,AdvanceProb,PredSemiMean,PredSemiMedian,PredSemiMin,PredSemiMax,DisplayedSemiTime
28,Alex Anderson   ,Duquesne University        ,10.61,10.415,10.467571428571429,0.050709255283711,13,1,1,0.22165,10.468898333297041,10.468409453737692,10.199356119280017,10.779836973154456,10.468410420333889
10,Lucas Garcia    ,Lock Haven University      ,10.46,10.392,10.412571428571429,0.050709255283711,9,1,2,0.52405,10.412753137438177,10.412832961970878,10.128233421950892,10.762378611701312,10.412836910552098
9,Carlos Johnson  ,West Chester University    ,10.43,10.362,10.383428571428572,0.050709255283711,5,1,3,0.6884,10.383011438451936,10.38268509838758,10.075994186585003,10.675071915271383,10.382685361893381
3,Carlos Smith    ,Villanova University       ,10.35,10.365,10.365000000000004,0.050709255283711,1,1,4,0.7762,10.365689485281846,10.365146701611721,10.051271665636964,10.64203070037594,10.365152151951632
18,Mateo Lee       ,Duquesne University        ,10.53,10.322,10.38057142857143,0.050709255283711,3,1,5,0.70365,10.380081581198247,10.380254532668703,10.106716326658006,10.696397631039014,10.38025549885303
1,Jacob Martinez  ,University of Pittsburgh   ,10.33,10.41,10.392000000000003,0.050709255283711,7,1,6,0.64635,10.391270330531569,10.390989884777436,10.122825779960761,10.657092071372977,10.3909946258076
4,Noah Brown      ,Slippery Rock University   ,10.35,10.5,10.461428571428575,0.050709255283711,11,1,7,0.2568,10.461520118845062,10.461743849270313,10.121670526490655,10.750572881844333,10.461749843784238
11,Jacob Gonzalez  ,Villanova University       ,10.47,10.482,10.479428571428572,0.050709255283711,15,1,8,0.1829,10.480173087517993,10.479902327741797,10.17276264252069,10.774343533484036,10.479905577465258
17,Ryan Brown      ,Duquesne University        ,10.52,10.461,10.477285714285717,0.050709255283711,14,2,1,0.21805,10.476059864994637,10.475960123396568,10.17287808591871,10.747917067158966,10.47596050933864
16,Alex Martinez   ,Saint Joseph's University  ,10.51,10.396,10.428285714285717,0.050709255283711,10,2,2,0.46475,10.429069133286527,10.428825681279434,10.09642178303297,10.727023512482655,10.428845431755288
5,Owen Martinez   ,Bucknell University        ,10.38,10.382,10.384857142857145,0.050709255283711,6,2,3,0.7134,10.384493013261732,10.384455732157026,10.090920041983324,10.64908632564462,10.384461519507044
2,Lucas Anderson  ,Lafayette College          ,10.34,10.372,10.367428571428574,0.050709255283711,2,2,4,0.79065,10.367417188529917,10.367390938578485,10.094430797714976,10.704796563667058,10.367396557708119
7,Noah Smith      ,Lock Haven University      ,10.39,10.373,10.381000000000002,0.050709255283711,4,2,5,0.73555,10.380589163419602,10.3807600582962,10.10230710708486,10.660133872089512,10.380760534627388
6,Ryan Garcia     ,Lock Haven University      ,10.39,10.408,10.406,0.050709255283711,8,2,6,0.5957,10.406686260228755,10.40676461020939,10.15374549341843,10.674064280014838,10.40676461293672
12,Brandon Garcia  ,La Salle University        ,10.48,10.457,10.46414285714286,0.050709255283711,12,2,7,0.2778,10.463629928259166,10.463629872653794,10.150725033059379,10.758206915372865,10.463630338157293
26,Jacob Gonzalez  ,La Salle University        ,10.61,10.432,10.479714285714287,0.050709255283711,16,2,8,0.2041,10.479213021027807,10.479976677926299,10.204632986866116,10.733173983048001,10.479981503265845
